"","time","value","Intervention"
"1",0,0,"Baseline"
"2",1,0.000127459976707035,"Baseline"
"3",2,0.00179592239236839,"Baseline"
"4",3,0.00806331489962254,"Baseline"
"5",4,0.0227582581017464,"Baseline"
"6",5,0.0499543603518046,"Baseline"
"7",6,0.0937408823410175,"Baseline"
"8",7,0.158161018833037,"Baseline"
"9",8,0.247242465780268,"Baseline"
"10",9,0.365077216539349,"Baseline"
"11",10,0.515926893981465,"Baseline"
"12",11,0.704341478105323,"Baseline"
"13",12,0.935285308252524,"Baseline"
"14",13,1.214269324199,"Baseline"
"15",14,1.54748963326021,"Baseline"
"16",15,1.94197408866386,"Baseline"
"17",16,2.40573990377209,"Baseline"
"18",17,2.9479652356697,"Baseline"
"19",18,3.57917900212312,"Baseline"
"20",19,4.31147252352488,"Baseline"
"21",20,5.15873514351382,"Baseline"
"22",21,6.1369227274807,"Baseline"
"23",22,7.26436177529119,"Baseline"
"24",23,8.562095296041,"Baseline"
"25",24,10.0542767651654,"Baseline"
"26",25,11.7686191349346,"Baseline"
"27",26,13.7369097838339,"Baseline"
"28",27,15.9955977586245,"Baseline"
"29",28,18.5864661412038,"Baseline"
"30",29,21.5574002184156,"Baseline"
"31",30,24.9632637626952,"Baseline"
"32",31,28.8669048347041,"Baseline"
"33",32,33.3403012310647,"Baseline"
"34",33,38.4658723753165,"Baseline"
"35",34,44.3379758874052,"Baseline"
"36",35,51.0646109891323,"Baseline"
"37",36,58.7693692197404,"Baseline"
"38",37,67.5936529112845,"Baseline"
"39",38,77.6992053930464,"Baseline"
"40",39,89.270988515056,"Baseline"
"41",40,102.52044527309,"Baseline"
"42",41,117.689219730002,"Baseline"
"43",42,135.05336518148,"Baseline"
"44",43,154.928114640607,"Baseline"
"45",44,177.673269850301,"Baseline"
"46",45,203.699263166206,"Baseline"
"47",46,233.474006085638,"Baseline"
"48",47,267.530555261842,"Baseline"
"49",48,306.475696005242,"Baseline"
"50",49,350.999502365023,"Baseline"
"51",50,401.885915981871,"Baseline"
"52",51,460.024465651038,"Baseline"
"53",52,526.42309226573,"Baseline"
"54",53,602.222125625174,"Baseline"
"55",54,688.70936385941,"Baseline"
"56",55,787.33615020363,"Baseline"
"57",56,899.734371702707,"Baseline"
"58",57,1027.7340563438,"Baseline"
"59",58,1173.38125473515,"Baseline"
"60",59,1338.95569823079,"Baseline"
"61",60,1526.98762304578,"Baseline"
"62",61,1740.27289582016,"Baseline"
"63",62,1981.88541905927,"Baseline"
"64",63,2255.1855373737,"Baseline"
"65",64,2563.82297792194,"Baseline"
"66",65,2911.73291555228,"Baseline"
"67",66,3303.12289432775,"Baseline"
"68",67,3742.44917082771,"Baseline"
"69",68,4234.38043452429,"Baseline"
"70",69,4783.74739919371,"Baseline"
"71",70,5395.47761147679,"Baseline"
"72",71,6074.5137076584,"Baseline"
"73",72,6825.71651219457,"Baseline"
"74",73,7653.75368644289,"Baseline"
"75",74,8562.97655931424,"Baseline"
"76",75,9557.28896366181,"Baseline"
"77",76,10640.011858796,"Baseline"
"78",77,11813.7501838963,"Baseline"
"79",78,13080.268168613,"Baseline"
"80",79,14440.3789448145,"Baseline"
"81",80,15893.8554008187,"Baseline"
"82",81,17439.3651838468,"Baseline"
"83",82,19074.4368122309,"Baseline"
"84",83,20795.4572690001,"Baseline"
"85",84,22597.7020334786,"Baseline"
"86",85,24475.3974767909,"Baseline"
"87",86,26421.811776946,"Baseline"
