"","time","value","Intervention"
"1",0,300,"Baseline"
"2",1,309.544603941868,"Baseline"
"3",2,334.655604906273,"Baseline"
"4",3,371.926466066708,"Baseline"
"5",4,419.696091871689,"Baseline"
"6",5,477.421443372236,"Baseline"
"7",6,545.304662749325,"Baseline"
"8",7,624.07637101028,"Baseline"
"9",8,714.875276552509,"Baseline"
"10",9,819.187817757402,"Baseline"
"11",10,938.826079904809,"Baseline"
"12",11,1075.93141236759,"Baseline"
"13",12,1232.99522488937,"Baseline"
"14",13,1412.89403673545,"Baseline"
"15",14,1618.93581663485,"Baseline"
"16",15,1854.91635173471,"Baseline"
"17",16,2125.18639236231,"Baseline"
"18",17,2434.72982139127,"Baseline"
"19",18,2789.25417619646,"Baseline"
"20",19,3195.29445479414,"Baseline"
"21",20,3660.33091815286,"Baseline"
"22",21,4192.9253071655,"Baseline"
"23",22,4802.87606619914,"Baseline"
"24",23,5501.39532648965,"Baseline"
"25",24,6301.31056742761,"Baseline"
"26",25,7217.29409523072,"Baseline"
"27",26,8266.12529285117,"Baseline"
"28",27,9466.98817122175,"Baseline"
"29",28,10841.8098980201,"Baseline"
"30",29,12415.644640777,"Baseline"
"31",30,14217.1075907607,"Baseline"
"32",31,16278.8678510821,"Baseline"
"33",32,18638.2030468716,"Baseline"
"34",33,21337.625499937,"Baseline"
"35",34,24425.5849146066,"Baseline"
"36",35,27957.2533808712,"Baseline"
"37",36,31995.4042462946,"Baseline"
"38",37,36611.3861158138,"Baseline"
"39",38,41886.1999847429,"Baseline"
"40",39,47911.6807132054,"Baseline"
"41",40,54791.7815709308,"Baseline"
"42",41,62643.9643678408,"Baseline"
"43",42,71600.6782551064,"Baseline"
"44",43,81810.9130156257,"Baseline"
"45",44,93441.7960671041,"Baseline"
"46",45,106680.191740305,"Baseline"
"47",46,121734.243738718,"Baseline"
"48",47,138834.773725607,"Baseline"
"49",48,158236.422986455,"Baseline"
"50",49,180218.388763291,"Baseline"
"51",50,205084.584599493,"Baseline"
"52",51,233162.955464968,"Baseline"
"53",52,264803.687587192,"Baseline"
"54",53,300375.942080638,"Baseline"
"55",54,340262.725076913,"Baseline"
"56",55,384853.523522728,"Baseline"
"57",56,434534.073734496,"Baseline"
"58",57,489672.944598153,"Baseline"
"59",58,550604.44857467,"Baseline"
"60",59,617607.641176853,"Baseline"
"61",60,690881.471061694,"Baseline"
"62",61,770516.067359529,"Baseline"
"63",62,856461.227929814,"Baseline"
"64",63,948493.333583504,"Baseline"
"65",64,1046182.85241834,"Baseline"
"66",65,1148864.94472634,"Baseline"
"67",66,1255616.90589696,"Baseline"
"68",67,1365246.25767734,"Baseline"
"69",68,1476293.28538108,"Baseline"
"70",69,1587051.54375038,"Baseline"
"71",70,1695607.79415283,"Baseline"
"72",71,1799903.35100161,"Baseline"
"73",72,1897813.39077701,"Baseline"
"74",73,1987240.3464591,"Baseline"
"75",74,2066214.15465339,"Baseline"
"76",75,2132991.05496453,"Baseline"
"77",76,2186142.21982846,"Baseline"
"78",77,2224624.04459407,"Baseline"
"79",78,2247821.08169597,"Baseline"
"80",79,2255562.86613803,"Baseline"
"81",80,2248112.88952983,"Baseline"
"82",81,2226131.28837646,"Baseline"
"83",82,2190617.05906335,"Baseline"
"84",83,2142839.13483805,"Baseline"
"85",84,2084260.1588937,"Baseline"
"86",85,2016460.57417446,"Baseline"
"87",86,1941067.94031003,"Baseline"
"88",87,1859695.88390652,"Baseline"
"89",88,1773894.19350646,"Baseline"
"90",89,1685110.54283668,"Baseline"
"91",90,1594663.44645311,"Baseline"
"92",91,1503726.13697647,"Baseline"
"93",92,1413319.12042292,"Baseline"
"94",93,1324309.54160673,"Baseline"
"95",94,1237416.38219473,"Baseline"
"96",95,1153219.43590502,"Baseline"
"97",96,1072170.89537323,"Baseline"
"98",97,994608.355345498,"Baseline"
"99",98,920768.394393045,"Baseline"
"100",99,850800.100517882,"Baseline"
"101",100,784778.190795446,"Baseline"
"102",101,722715.158180575,"Baseline"
"103",102,664572.438538992,"Baseline"
"104",103,610270.377170284,"Baseline"
"105",104,559697.088956679,"Baseline"
"106",105,512716.205515436,"Baseline"
"107",106,469173.387974401,"Baseline"
"108",107,428901.934092464,"Baseline"
"109",108,391727.629241051,"Baseline"
"110",109,357472.374072493,"Baseline"
"111",110,325957.576792282,"Baseline"
"112",111,297006.488411289,"Baseline"
"113",112,270446.219701154,"Baseline"
"114",113,246109.302519246,"Baseline"
"115",114,223834.748942171,"Baseline"
"116",115,203468.977873828,"Baseline"
"117",116,184866.151707774,"Baseline"
"118",117,167888.480828907,"Baseline"
"119",118,152406.411752478,"Baseline"
"120",119,138298.635675785,"Baseline"
"121",120,125451.924263702,"Baseline"
"122",121,113760.885355599,"Baseline"
"123",122,103127.68878018,"Baseline"
"124",123,93461.7582435641,"Baseline"
"125",124,84679.4196437697,"Baseline"
"126",125,76703.5196876642,"Baseline"
"127",126,69463.0379234947,"Baseline"
"128",127,62892.7043183979,"Baseline"
"129",128,56932.6230295555,"Baseline"
"130",129,51527.9023342941,"Baseline"
"131",130,46628.2949646839,"Baseline"
"132",131,42187.8539882953,"Baseline"
"133",132,38164.6065085438,"Baseline"
"134",133,34520.2450180871,"Baseline"
"135",134,31219.8361063846,"Baseline"
"136",135,28231.5469379885,"Baseline"
"137",136,25526.3898780005,"Baseline"
"138",137,23077.9849353602,"Baseline"
"139",138,20862.3391825472,"Baseline"
"140",139,18857.6424400269,"Baseline"
"141",140,17044.078306458,"Baseline"
"142",141,15403.6499611838,"Baseline"
"143",142,13920.0198839908,"Baseline"
"144",143,12578.362572659,"Baseline"
"145",144,11365.2293606236,"Baseline"
"146",145,10268.4245143008,"Baseline"
"147",146,9276.89183080301,"Baseline"
"148",147,8380.61096468662,"Baseline"
"149",148,7570.50273169379,"Baseline"
"150",149,6838.3426823647,"Baseline"
"151",150,6176.68229021898,"Baseline"
"152",151,5578.77714188746,"Baseline"
"153",152,5038.52155222805,"Baseline"
"154",153,4550.38906440963,"Baseline"
"155",154,4109.37833491774,"Baseline"
"156",155,3710.96394245645,"Baseline"
"157",156,3351.05169502779,"Baseline"
"158",157,3025.9380417115,"Baseline"
"159",158,2732.273226343,"Baseline"
"160",159,2467.02785280323,"Baseline"
"161",160,2227.46255251482,"Baseline"
"162",161,2011.10047774655,"Baseline"
"163",162,1815.70236476803,"Baseline"
"164",163,1639.24393281446,"Baseline"
"165",164,1479.89540485195,"Baseline"
"166",165,1336.00295522243,"Baseline"
"167",166,1206.0719067001,"Baseline"
"168",167,1088.751515191,"Baseline"
"169",168,982.8211946265,"Baseline"
"170",169,887.178047850798,"Baseline"
"171",170,800.825581522579,"Baseline"
"172",171,722.86349419778,"Baseline"
"173",172,652.478436881439,"Baseline"
"174",173,588.935654557401,"Baseline"
"175",174,531.571425634403,"Baseline"
"176",175,479.786223944006,"Baseline"
"177",176,433.038534929579,"Baseline"
"178",177,390.83926402682,"Baseline"
"179",178,352.746681015958,"Baseline"
