"","time","value","Intervention"
"1",0,0,"Baseline"
"2",1,3.87077932483534,"Baseline"
"3",2,14.1755473098859,"Baseline"
"4",3,29.6569245786334,"Baseline"
"5",4,49.7167426019266,"Baseline"
"6",5,74.1848851093355,"Baseline"
"7",6,103.182126505941,"Baseline"
"8",7,137.040800956187,"Baseline"
"9",8,176.261289392306,"Baseline"
"10",9,221.490990292875,"Baseline"
"11",10,273.517785287467,"Baseline"
"12",11,333.27340506169,"Baseline"
"13",12,401.84357581125,"Baseline"
"14",13,480.483936646887,"Baseline"
"15",14,570.640685856384,"Baseline"
"16",15,673.975534843801,"Baseline"
"17",16,792.395351299695,"Baseline"
"18",17,928.086670896314,"Baseline"
"19",18,1083.55571476354,"Baseline"
"20",19,1261.67435909367,"Baseline"
"21",20,1465.73239283801,"Baseline"
"22",21,1699.49808491819,"Baseline"
"23",22,1967.28737560968,"Baseline"
"24",23,2274.04298599582,"Baseline"
"25",24,2625.42483501243,"Baseline"
"26",25,3027.9132820842,"Baseline"
"27",26,3488.9275904954,"Baseline"
"28",27,4016.96094409615,"Baseline"
"29",28,4621.73486561007,"Baseline"
"30",29,5314.37535469146,"Baseline"
"31",30,6107.61340582622,"Baseline"
"32",31,7016.01457446428,"Baseline"
"33",32,8056.23966806314,"Baseline"
"34",33,9247.34227953689,"Baseline"
"35",34,10611.1068812832,"Baseline"
"36",35,12172.4319576751,"Baseline"
"37",36,13959.7664676891,"Baseline"
"38",37,16005.6032987659,"Baseline"
"39",38,18347.0381904093,"Baseline"
"40",39,21026.4003732302,"Baseline"
"41",40,24091.9612427784,"Baseline"
"42",41,27598.7337049276,"Baseline"
"43",42,31609.3654467291,"Baseline"
"44",43,36195.1370194835,"Baseline"
"45",44,41437.0704938891,"Baseline"
"46",45,47427.1527105013,"Baseline"
"47",46,54269.6848844455,"Baseline"
"48",47,62082.7524191281,"Baseline"
"49",48,70999.816751495,"Baseline"
"50",49,81171.4188670018,"Baseline"
"51",50,92766.9771934959,"Baseline"
"52",51,105976.661363202,"Baseline"
"53",52,121013.295057784,"Baseline"
"54",53,138114.236494592,"Baseline"
"55",54,157543.159592493,"Baseline"
"56",55,179591.644323816,"Baseline"
"57",56,204580.44052409,"Baseline"
"58",57,232860.255016636,"Baseline"
"59",58,264811.864569743,"Baseline"
"60",59,300845.332833435,"Baseline"
"61",60,341398.114775889,"Baseline"
"62",61,386931.699311543,"Baseline"
"63",62,437926.574602293,"Baseline"
"64",63,494875.206506067,"Baseline"
"65",64,558272.820494324,"Baseline"
"66",65,628605.917016612,"Baseline"
"67",66,706338.320750391,"Baseline"
"68",67,791895.089760705,"Baseline"
"69",68,885644.571711076,"Baseline"
"70",69,987879.264558772,"Baseline"
"71",70,1098796.34748538,"Baseline"
"72",71,1218478.9079536,"Baseline"
"73",72,1346879.24518937,"Baseline"
"74",73,1483805.56527473,"Baseline"
"75",74,1628913.37043301,"Baseline"
"76",75,1781702.3817396,"Baseline"
"77",76,1941520.16047493,"Baseline"
"78",77,2107572.09900923,"Baseline"
"79",78,2278938.55893348,"Baseline"
"80",79,2454596.83293981,"Baseline"
"81",80,2633447.43176679,"Baseline"
"82",81,2814343.41924425,"Baseline"
"83",82,2996120.90840615,"Baseline"
"84",83,3177628.64521641,"Baseline"
"85",84,3357755.53224787,"Baseline"
"86",85,3535454.70977558,"Baseline"
"87",86,3709763.64743449,"Baseline"
"88",87,3879819.15419572,"Baseline"
"89",88,4044867.71359278,"Baseline"
"90",89,4204271.23611976,"Baseline"
"91",90,4357508.67835007,"Baseline"
"92",91,4504173.83542917,"Baseline"
"93",92,4643970.25575965,"Baseline"
"94",93,4776703.98423584,"Baseline"
"95",94,4902274.55681417,"Baseline"
"96",95,5020665.02197795,"Baseline"
"97",96,5131931.46484091,"Baseline"
"98",97,5236192.47255172,"Baseline"
"99",98,5333618.88009447,"Baseline"
"100",99,5424424.03935656,"Baseline"
"101",100,5508854.76713233,"Baseline"
"102",101,5587183.1910408,"Baseline"
"103",102,5659699.39963961,"Baseline"
"104",103,5726705.05892906,"Baseline"
"105",104,5788507.87489197,"Baseline"
"106",105,5845416.87827234,"Baseline"
"107",106,5897738.58974146,"Baseline"
"108",107,5945773.82431072,"Baseline"
"109",108,5989815.18495669,"Baseline"
"110",109,6030144.93181138,"Baseline"
"111",110,6067033.69558062,"Baseline"
"112",111,6100739.403771,"Baseline"
"113",112,6131506.56455969,"Baseline"
"114",113,6159565.90248223,"Baseline"
"115",114,6185134.26929228,"Baseline"
"116",115,6208414.69903399,"Baseline"
"117",116,6229596.71159735,"Baseline"
"118",117,6248856.67871171,"Baseline"
"119",118,6266358.2823525,"Baseline"
"120",119,6282253.04525754,"Baseline"
"121",120,6296680.93783207,"Baseline"
"122",121,6309771.01037491,"Baseline"
"123",122,6321642.02537164,"Baseline"
"124",123,6332403.08892014,"Baseline"
"125",124,6342154.28256005,"Baseline"
"126",125,6350987.28608273,"Baseline"
"127",126,6358985.97878416,"Baseline"
"128",127,6366227.01335269,"Baseline"
"129",128,6372780.36267187,"Baseline"
"130",129,6378709.83987658,"Baseline"
"131",130,6384073.58974859,"Baseline"
"132",131,6388924.54948685,"Baseline"
"133",132,6393310.87882578,"Baseline"
"134",133,6397276.36084731,"Baseline"
"135",134,6400860.77475159,"Baseline"
"136",135,6404100.24138687,"Baseline"
"137",136,6407027.54242965,"Baseline"
"138",137,6409672.41456165,"Baseline"
"139",138,6412061.82023223,"Baseline"
"140",139,6414220.19650311,"Baseline"
