"","time","value","Intervention"
"1",0,6892203,"Baseline"
"2",1,6892189.58448928,"Baseline"
"3",2,6892154.16705187,"Baseline"
"4",3,6892101.40854604,"Baseline"
"5",4,6892033.56440727,"Baseline"
"6",5,6891951.34371716,"Baseline"
"7",6,6891854.41946987,"Baseline"
"8",7,6891741.72466702,"Baseline"
"9",8,6891611.61619159,"Baseline"
"10",9,6891461.95611474,"Baseline"
"11",10,6891290.14020792,"Baseline"
"12",11,6891093.0908411,"Baseline"
"13",12,6890867.22591399,"Baseline"
"14",13,6890608.4077573,"Baseline"
"15",14,6890311.87600788,"Baseline"
"16",15,6889972.16613934,"Baseline"
"17",16,6889583.01251644,"Baseline"
"18",17,6889137.23554248,"Baseline"
"19",18,6888626.61093004,"Baseline"
"20",19,6888041.71971359,"Baseline"
"21",20,6887371.77795387,"Baseline"
"22",21,6886604.43968519,"Baseline"
"23",22,6885725.57219642,"Baseline"
"24",23,6884718.99959222,"Baseline"
"25",24,6883566.2103208,"Baseline"
"26",25,6882246.02400356,"Baseline"
"27",26,6880734.21020688,"Baseline"
"28",27,6879003.05528693,"Baseline"
"29",28,6877020.86877023,"Baseline"
"30",29,6874751.42260432,"Baseline"
"31",30,6872153.31573966,"Baseline"
"32",31,6869179.25066962,"Baseline"
"33",32,6865775.21698384,"Baseline"
"34",33,6861879.56634816,"Baseline"
"35",34,6857421.97022823,"Baseline"
"36",35,6852322.25005047,"Baseline"
"37",36,6846489.0599168,"Baseline"
"38",37,6839818.41693251,"Baseline"
"39",38,6832192.06261946,"Baseline"
"40",39,6823475.64792505,"Baseline"
"41",40,6813516.73674102,"Baseline"
"42",41,6802142.61270751,"Baseline"
"43",42,6789157.90293299,"Baseline"
"44",43,6774342.02185025,"Baseline"
"45",44,6757446.46016916,"Baseline"
"46",45,6738191.95628603,"Baseline"
"47",46,6716265.59737075,"Baseline"
"48",47,6691317.94330001,"Baseline"
"49",48,6662960.28456605,"Baseline"
"50",49,6630762.19286735,"Baseline"
"51",50,6594249.55229103,"Baseline"
"52",51,6552903.35870618,"Baseline"
"53",52,6506159.59426276,"Baseline"
"54",53,6453410.59929915,"Baseline"
"55",54,6394008.40596674,"Baseline"
"56",55,6327270.49600326,"Baseline"
"57",56,6252488.75136972,"Baseline"
"58",57,6168942.06632888,"Baseline"
"59",58,6075913.30560087,"Baseline"
"60",59,5972711.0702915,"Baseline"
"61",60,5858696.42653939,"Baseline"
"62",61,5733314.96043313,"Baseline"
"63",62,5596133.31204886,"Baseline"
"64",63,5446879.27437308,"Baseline"
"65",64,5285483.50410944,"Baseline"
"66",65,5112120.40534153,"Baseline"
"67",66,4927244.65045836,"Baseline"
"68",67,4731619.20339116,"Baseline"
"69",68,4526330.76247335,"Baseline"
"70",69,4312788.44429168,"Baseline"
"71",70,4092703.38075033,"Baseline"
"72",71,3868046.22733714,"Baseline"
"73",72,3640984.64752144,"Baseline"
"74",73,3413803.33457973,"Baseline"
"75",74,3188812.49835429,"Baseline"
"76",75,2968252.27433221,"Baseline"
"77",76,2754200.60783782,"Baseline"
"78",77,2548493.10621281,"Baseline"
"79",78,2352663.09120195,"Baseline"
"80",79,2167902.92197736,"Baseline"
"81",80,1995048.82330258,"Baseline"
"82",81,1834588.92719545,"Baseline"
"83",82,1686690.59571828,"Baseline"
"84",83,1551239.76267655,"Baseline"
"85",84,1427889.60682497,"Baseline"
"86",85,1316112.31857318,"Baseline"
"87",86,1215249.60047855,"Baseline"
"88",87,1124558.58950135,"Baseline"
"89",88,1043251.29098545,"Baseline"
"90",89,970526.952339485,"Baseline"
"91",90,905597.329212437,"Baseline"
"92",91,847704.853743134,"Baseline"
"93",92,796135.005931839,"Baseline"
"94",93,750224.053590838,"Baseline"
"95",94,709362.719829834,"Baseline"
"96",95,672997.061236072,"Baseline"
"97",96,640627.248501571,"Baseline"
"98",97,611805.006865951,"Baseline"
"99",98,586130.216766081,"Baseline"
"100",99,563247.064626798,"Baseline"
"101",100,542839.939385618,"Baseline"
"102",101,524629.42007569,"Baseline"
"103",102,508368.452575768,"Baseline"
"104",103,493838.774714525,"Baseline"
"105",104,480847.612398877,"Baseline"
"106",105,469224.675697092,"Baseline"
"107",106,458819.517132514,"Baseline"
"108",107,449499.161137689,"Baseline"
"109",108,441145.809851541,"Baseline"
"110",109,433655.381448402,"Baseline"
"111",110,426935.468982277,"Baseline"
"112",111,420904.121257399,"Baseline"
"113",112,415488.591223388,"Baseline"
"114",113,410624.18900472,"Baseline"
"115",114,406253.356537836,"Baseline"
"116",115,402324.733783477,"Baseline"
"117",116,398792.553642325,"Baseline"
"118",117,395616.008581105,"Baseline"
"119",118,392758.64046646,"Baseline"
"120",119,390187.83330486,"Baseline"
"121",120,387874.397685064,"Baseline"
"122",121,385792.206787955,"Baseline"
"123",122,383917.859955222,"Baseline"
"124",123,382230.37851238,"Baseline"
"125",124,380710.94182016,"Baseline"
